Agent,Wins,Losses,Draws,Total Games,Total Game Lengths,Average Game Length
Turochamp,2,3,9,14,3142.2609689235687,224.44721206596918
Turochamp2ply,2,2,10,14,6008.658804655075,429.18991461821963
Turochamp2plyKnight,6,2,6,14,5524.288888216019,394.5920634440013
Turochamp2plyBishop,2,2,10,14,5320.303812265396,380.0217008760997
TurochampKnight,1,4,9,14,3295.3360166549683,235.38114404678345
TurochampBishop,1,3,10,14,2727.6863403320312,194.8347385951451
CCCP,0,12,2,14,583.6110496520996,41.68650354657854
Stockfish,14,0,0,14,4026.7586612701416,287.625618662153
